"Code point","Rank 1","Rank 2","Unicode name","WP43S usage","Should be","Glyph","Replacement","Code point"
"U+0020",1,1,"SPACE",,," "," ","U+0020"
"U+0021",462,462,"EXCLAMATION MARK",,,"!","!","U+0021"
"U+0022",475,475,"QUOTATION MARK",,,"""","""","U+0022"
"U+0023",557,557,"NUMBER SIGN",,,"#","#","U+0023"
"U+0024",526,527,"DOLLAR SIGN",,,"$","%","U+0025"
"U+0025",526,526,"PERCENT SIGN",,,"%","%","U+0025"
"U+0026",506,506,"AMPERSAND",,,"&","&","U+0026"
"U+0027",470,470,"APOSTROPHE",,,"'","'","U+0027"
"U+0028",415,415,"LEFT PARENTHESIS",,,"(","(","U+0028"
"U+0029",415,416,"RIGHT PARENTHESIS",,,")","(","U+0028"
"U+002a",445,449,"ASTERISK",,,"*","×","U+00d7"
"U+002b",435,435,"PLUS SIGN",,,"+","+","U+002b"
"U+002c",457,457,"COMMA",,,",",",","U+002c"
"U+002d",439,439,"HYPHEN-MINUS",,,"-","-","U+002d"
"U+002e",459,459,"FULL STOP",,,".",".","U+002e"
"U+002f",452,452,"SOLIDUS",,,"/","/","U+002f"
"U+0030",10,10,"DIGIT ZERO",,,"0","0","U+0030"
"U+0031",15,15,"DIGIT ONE",,,"1","1","U+0031"
"U+0032",23,23,"DIGIT TWO",,,"2","2","U+0032"
"U+0033",27,27,"DIGIT THREE",,,"3","3","U+0033"
"U+0034",32,32,"DIGIT FOUR",,,"4","4","U+0034"
"U+0035",36,36,"DIGIT FIVE",,,"5","5","U+0035"
"U+0036",40,40,"DIGIT SIX",,,"6","6","U+0036"
"U+0037",44,44,"DIGIT SEVEN",,,"7","7","U+0037"
"U+0038",48,48,"DIGIT EIGHT",,,"8","8","U+0038"
"U+0039",52,52,"DIGIT NINE",,,"9","9","U+0039"
"U+003a",466,466,"COLON",,,":",":","U+003a"
"U+003b",469,469,"SEMICOLON",,,";",";","U+003b"
"U+003c",512,513,"LESS-THAN SIGN",,,"<","≪","U+226a"
"U+003d",512,517,"EQUALS SIGN",,,"=","≪","U+226a"
"U+003e",512,524,"GREATER-THAN SIGN",,,">","≪","U+226a"
"U+003f",464,464,"QUESTION MARK",,,"?","?","U+003f"
"U+0040",482,482,"COMMERCIAL AT",,,"@","@","U+0040"
"U+0041",64,64,"LATIN CAPITAL LETTER A",,,"A","A","U+0041"
"U+0042",90,90,"LATIN CAPITAL LETTER B",,,"B","B","U+0042"
"U+0043",94,94,"LATIN CAPITAL LETTER C",,,"C","C","U+0043"
"U+0044",106,106,"LATIN CAPITAL LETTER D",,,"D","D","U+0044"
"U+0045",116,116,"LATIN CAPITAL LETTER E",,,"E","E","U+0045"
"U+0046",140,140,"LATIN CAPITAL LETTER F",,,"F","F","U+0046"
"U+0047",144,144,"LATIN CAPITAL LETTER G",,,"G","G","U+0047"
"U+0048",150,150,"LATIN CAPITAL LETTER H",,,"H","H","U+0048"
"U+0049",158,158,"LATIN CAPITAL LETTER I",,,"I","I","U+0049"
"U+004a",178,178,"LATIN CAPITAL LETTER J",,,"J","J","U+004a"
"U+004b",182,182,"LATIN CAPITAL LETTER K",,,"K","K","U+004b"
"U+004c",187,187,"LATIN CAPITAL LETTER L",,,"L","L","U+004c"
"U+004d",198,198,"LATIN CAPITAL LETTER M",,,"M","M","U+004d"
"U+004e",203,203,"LATIN CAPITAL LETTER N",,,"N","N","U+004e"
"U+004f",215,215,"LATIN CAPITAL LETTER O",,,"O","O","U+004f"
"U+0050",240,240,"LATIN CAPITAL LETTER P",,,"P","P","U+0050"
"U+0051",245,245,"LATIN CAPITAL LETTER Q",,,"Q","Q","U+0051"
"U+0052",250,250,"LATIN CAPITAL LETTER R",,,"R","R","U+0052"
"U+0053",259,259,"LATIN CAPITAL LETTER S",,,"S","S","U+0053"
"U+0054",271,271,"LATIN CAPITAL LETTER T",,,"T","T","U+0054"
"U+0055",281,281,"LATIN CAPITAL LETTER U",,,"U","U","U+0055"
